query,KEGG_Pathway,KEGG_Reaction,product_name
dehydrogenase,,,
putative_O-methyltransferase,,,
hypothetical_protein,,,
1-acyl-sn-glycerol-3-phosphate_acyltransferase,,,
acyl_carrier_protein,,,
AMP-(fatty)acid_ligase,,,
predicted_acyltransferase,,,
esterase,,,
transporter,,,
3-oxoacyl-(acyl_carrier_protein)_synthase,00780,"R04355, R04726, R04952, R04957, R04960, R04963, R04968, R07762, R10115, R10119","Acetoacetyl-[acp], CO2, Acyl-carrier protein, 3-Oxotetradecanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxohexanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxooctanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxodecanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxododecanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxohexadecanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxostearoyl-[acp], Acyl-carrier protein, CO2, 3-Ketoglutaryl-[acp] methyl ester, CO2, Acyl-carrier protein, 3-Ketopimeloyl-[acp] methyl ester, CO2, Acyl-carrier protein"
"3-oxoacyl-(acyl-carrier-protein)_reductase,_putative","01040, 00780, 00333","R04533, R04534, R04536, R04543, R04566, R04953, R04964, R07759, R07763, R10116, R10120, R11671","Acetoacetyl-[acp], NADPH, H+, 3-Oxodecanoyl-[acp], NADPH, 3-Oxooctanoyl-[acp], NADPH, H+, 3-Oxohexadecanoyl-[acp], NADPH, H+, 3-Oxotetradecanoyl-[acp], NADPH, H+, 3-Oxohexanoyl-[acp], NADPH, H+, 3-Oxododecanoyl-[acp], NADPH, H+, 3-Hydroxyoctadecanoyl-CoA, NADP+, (3R)-3-Hydroxyoctadecanoyl-[acyl-carrier protein], NADP+, 3-Hydroxyglutaryl-[acp] methyl ester, NADP+, 3-Hydroxypimeloyl-[acp] methyl ester, NADP+, Dodecanoyl-[acyl-carrier protein]"
3-oxoacyl-(acyl_carrier_protein)_synthase,00780,"R04355, R04726, R04952, R04957, R04960, R04963, R04968, R07762, R10115, R10119","Acetoacetyl-[acp], CO2, Acyl-carrier protein, 3-Oxotetradecanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxohexanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxooctanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxodecanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxododecanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxohexadecanoyl-[acp], CO2, Acyl-carrier protein, 3-Oxostearoyl-[acp], Acyl-carrier protein, CO2, 3-Ketoglutaryl-[acp] methyl ester, CO2, Acyl-carrier protein, 3-Ketopimeloyl-[acp] methyl ester, CO2, Acyl-carrier protein"
